lat,lon,timezone,timezone_offset,dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather_id,weather_main,weather_desc,weather_icon
3.033,101.45,Asia/Kuala_Lumpur,28800,1737338400,1737329153,1737372243,26.35,26.35,1010,83,23.23,NA,20,10000,0.51,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736668800,1736637807,1736680858,28.88,30.54,1008,58,19.79,NA,20,10000,4.12,20,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1738454400,1738452483,1738495659,25.73,26.53,1009,83,22.62,NA,20,10000,1.03,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736996400,1736983486,1737026555,27.72,31.27,1012,79,23.74,NA,20,10000,1.03,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1738720800,1738711692,1738754891,26.29,26.29,1012,78,22.15,NA,20,10000,1.03,0,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737871200,1737847630,1737890757,27.49,30.62,1010,78,23.31,NA,20,10000,1.54,0,501,Rain,moderate rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1735898400,1735859996,1735903015,25.08,26.1,1007,94,24.05,NA,40,3000,2.06,40,202,Thunderstorm,thunderstorm with heavy rain,11d
3.033,101.45,Asia/Kuala_Lumpur,28800,1735898400,1735859996,1735903015,25.08,26.1,1007,94,24.05,NA,40,3000,2.06,40,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1735927200,1735946421,1735989443,25.78,26.87,1011,94,24.74,NA,20,7000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1736503200,1736464964,1736508006,27.84,29.32,1011,61,19.63,NA,20,9000,1.54,80,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737972000,1737934040,1737977174,27.28,29.34,1007,70,21.33,NA,20,9000,1.03,0,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1738630800,1738625290,1738668481,25.93,26.51,1010,74,20.94,NA,20,10000,0.51,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737450000,1737415568,1737458664,29.37,33.55,1007,70,23.33,NA,20,10000,2.57,270,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736733600,1736724228,1736767283,26.62,26.62,1012,69,20.47,NA,20,10000,2.06,360,801,Clouds,few clouds,02d
