lat,lon,timezone,timezone_offset,dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather_id,weather_main,weather_desc,weather_icon
3.033,101.45,Asia/Kuala_Lumpur,28800,1737338400,1737329153,1737372243,26.35,26.35,1010,83,23.23,NA,20,10000,0.51,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1739340000,1739316484,1739359739,32.49,35.82,1011,52,21.36,NA,20,10000,1.54,150,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1739246400,1739230088,1739273334,30.38,31.8,1012,51,19.11,NA,20,10000,1.03,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1741870800,1741821667,1741865191,27.68,31.73,1008,83,24.53,NA,20,10000,2.06,340,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1736668800,1736637807,1736680858,28.88,30.54,1008,58,19.79,NA,20,10000,4.12,20,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1740693600,1740698718,1740742116,25.4,26.45,1010,94,24.36,NA,20,10000,1.03,0,500,Rain,light rain,10n
3.033,101.45,Asia/Kuala_Lumpur,28800,1740474000,1740439563,1740482933,28.96,29.85,1010,52,18.12,NA,100,NA,3.47,78,804,Clouds,overcast clouds,04d
3.033,101.45,Asia/Kuala_Lumpur,28800,1740085200,1740094014,1740137347,25.58,26.52,1011,89,23.63,NA,20,10000,0.0,0,500,Rain,light rain,10n
3.033,101.45,Asia/Kuala_Lumpur,28800,1741568400,1741562532,1741606026,27.36,30.91,1011,83,24.22,NA,20,10000,0.0,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1741690800,1741648910,1741692415,28.46,32.92,1008,78,24.25,NA,20,10000,3.09,310,211,Thunderstorm,thunderstorm,11d
3.033,101.45,Asia/Kuala_Lumpur,28800,1740297600,1740266790,1740310142,29.62,36.52,1009,80,25.8,NA,90,NA,2.7,250,804,Clouds,overcast clouds,04d
3.033,101.45,Asia/Kuala_Lumpur,28800,1742058000,1742080800,1742124354,26.42,26.42,1011,89,24.46,NA,20,8000,0.51,0,500,Rain,light rain,10n
3.033,101.45,Asia/Kuala_Lumpur,28800,1741950000,1741908045,1741951579,27.44,31.89,1010,89,25.46,NA,99,NA,1.61,300,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1738454400,1738452483,1738495659,25.73,26.53,1009,83,22.62,NA,20,10000,1.03,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1742011200,1741994422,1742037966,30.75,33.42,1012,56,20.96,NA,20,10000,1.03,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736996400,1736983486,1737026555,27.72,31.27,1012,79,23.74,NA,20,10000,1.03,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1738720800,1738711692,1738754891,26.29,26.29,1012,78,22.15,NA,20,10000,1.03,0,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737871200,1737847630,1737890757,27.49,30.62,1010,78,23.31,NA,20,10000,1.54,0,501,Rain,moderate rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1735898400,1735859996,1735903015,25.08,26.1,1007,94,24.05,NA,40,3000,2.06,40,202,Thunderstorm,thunderstorm with heavy rain,11d
3.033,101.45,Asia/Kuala_Lumpur,28800,1735898400,1735859996,1735903015,25.08,26.1,1007,94,24.05,NA,40,3000,2.06,40,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1735927200,1735946421,1735989443,25.78,26.87,1011,94,24.74,NA,20,7000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1740124800,1740094014,1740137347,27.78,30.13,1010,69,21.57,NA,20,10000,3.09,330,211,Thunderstorm,thunderstorm,11d
3.033,101.45,Asia/Kuala_Lumpur,28800,1739415600,1739402879,1739446143,29.95,32.35,1013,58,20.79,NA,20,10000,1.54,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1739412000,1739402879,1739446143,28.76,31.54,1013,66,21.78,NA,20,10000,1.03,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1741600800,1741562532,1741606026,28.39,30.85,1008,66,21.43,NA,20,10000,2.57,280,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1741600800,1741562532,1741606026,28.39,30.85,1008,66,21.43,NA,20,10000,2.57,280,211,Thunderstorm,thunderstorm,11d
3.033,101.45,Asia/Kuala_Lumpur,28800,1741017600,1741044250,1741087686,27.58,31.47,1010,83,24.43,NA,20,10000,1.03,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1736503200,1736464964,1736508006,27.84,29.32,1011,61,19.63,NA,20,9000,1.54,80,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737972000,1737934040,1737977174,27.28,29.34,1007,70,21.33,NA,20,9000,1.03,0,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1738630800,1738625290,1738668481,25.93,26.51,1010,74,20.94,NA,20,10000,0.51,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1739764800,1739748453,1739791751,29.93,32.32,1012,58,20.77,NA,20,10000,2.06,300,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737450000,1737415568,1737458664,29.37,33.55,1007,70,23.33,NA,20,10000,2.57,270,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1741230000,1741217012,1741260468,29.45,32.92,1013,66,22.43,NA,20,9000,1.03,0,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1741618800,1741562532,1741606026,28.39,30.71,1012,65,21.18,NA,20,10000,0.0,0,500,Rain,light rain,10n
3.033,101.45,Asia/Kuala_Lumpur,28800,1742086800,1742080800,1742124354,26.55,26.55,1011,83,23.42,NA,20,10000,0.0,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736733600,1736724228,1736767283,26.62,26.62,1012,69,20.47,NA,20,10000,2.06,360,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1739570400,1739575668,1739618948,25.85,26.81,1010,89,23.9,NA,20,10000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1737925200,1737934040,1737977174,25.2,26.23,1008,94,24.16,NA,20,10000,0.0,0,501,Rain,moderate rain,10n
3.033,101.45,Asia/Kuala_Lumpur,28800,1738389600,1738366078,1738409246,28.86,33.16,1009,74,23.76,NA,100,NA,2.31,332,804,Clouds,overcast clouds,04d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737072000,1737069904,1737112978,24.54,25.35,1011,88,22.42,NA,20,10000,0.51,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1741395600,1741389773,1741433248,27.05,29.66,1009,78,22.88,NA,20,10000,0.51,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1739671200,1739662061,1739705350,26.52,26.52,1012,83,23.4,NA,20,10000,1.54,110,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1740726000,1740698718,1740742116,30.2,31.35,1010,50,18.63,NA,20,10000,2.57,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1739700000,1739662061,1739705350,25.08,26.1,1008,94,24.05,NA,20,10000,1.03,0,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1740790800,1740785102,1740828509,26.28,26.28,1011,94,25.24,NA,20,10000,0.0,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737345600,1737329153,1737372243,27.74,30.92,1010,76,23.12,NA,98,NA,1.53,60,804,Clouds,overcast clouds,04d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736517600,1736464964,1736508006,25.62,26.07,1014,70,19.74,NA,20,9000,1.03,0,500,Rain,light rain,10n
3.033,101.45,Asia/Kuala_Lumpur,28800,1740736800,1740698718,1740742116,27.09,27.9,1009,56,17.56,NA,40,5000,4.63,120,201,Thunderstorm,thunderstorm with rain,11d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736470800,1736464964,1736508006,26.3,26.3,1013,89,24.34,NA,20,10000,0.0,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737730800,1737674808,1737717922,26.17,26.17,1011,76,21.61,NA,20,8000,0.0,0,501,Rain,moderate rain,10n
3.033,101.45,Asia/Kuala_Lumpur,28800,1738184400,1738193265,1738236420,24.26,24.91,1011,83,21.19,NA,20,10000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1736683200,1736637807,1736680858,26.94,29.08,1011,74,21.91,NA,20,10000,1.03,0,500,Rain,light rain,10n
3.033,101.45,Asia/Kuala_Lumpur,28800,1737658800,1737674808,1737717922,26.41,26.41,1009,83,23.29,NA,20,8000,1.03,0,500,Rain,light rain,10n
3.033,101.45,Asia/Kuala_Lumpur,28800,1739959200,1739921235,1739964550,28.94,33.35,1009,74,23.84,NA,20,10000,2.06,180,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1742194800,1742167177,1742210741,31.25,34.87,1009,58,22.0,NA,20,10000,1.54,0,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1739779200,1739748453,1739791751,29.0,32.73,1009,70,22.97,NA,20,10000,4.63,0,211,Thunderstorm,thunderstorm,11d
3.033,101.45,Asia/Kuala_Lumpur,28800,1739084400,1739057293,1739100523,30.63,31.33,1009,46,17.69,NA,20,10000,2.06,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1735783200,1735773570,1735816587,28.2,31.65,1012,74,23.12,NA,20,10000,1.54,360,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1738414800,1738366078,1738409246,27.63,31.6,1009,83,24.48,NA,93,NA,2.07,312,804,Clouds,overcast clouds,04n
3.033,101.45,Asia/Kuala_Lumpur,28800,1737043200,1737069904,1737112978,26.42,26.42,1011,69,20.27,NA,20,10000,2.57,30,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1739469600,1739489274,1739532546,26.76,29.46,1011,83,23.63,NA,20,9000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1739102400,1739057293,1739100523,28.73,31.98,1009,69,22.48,NA,20,10000,2.06,180,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1740729600,1740698718,1740742116,28.91,29.1,1009,46,16.14,NA,62,NA,2.25,254,502,Rain,heavy intensity rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1739181600,1739143691,1739186929,29.32,35.41,1008,79,25.3,NA,20,10000,1.03,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1741028400,1741044250,1741087686,26.52,26.52,1008,89,24.56,NA,20,10000,0.51,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1741071600,1741044250,1741087686,30.51,35.01,1007,65,23.18,NA,20,10000,2.06,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736784000,1736810648,1736853707,26.86,28.55,1012,69,20.69,NA,20,10000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1742299200,1742253553,1742297127,28.81,34.85,1010,83,25.63,NA,20,10000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1741831200,1741821667,1741865191,28.21,31.67,1011,74,23.13,NA,20,10000,0.0,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736258400,1736205695,1736248726,26.85,30.22,1011,89,24.88,NA,20,10000,1.03,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1740794400,1740785102,1740828509,28.22,31.69,1012,74,23.14,NA,20,10000,1.03,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1741086000,1741044250,1741087686,29.39,35.37,1006,78,25.15,NA,89,NA,0.59,25,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736193600,1736205695,1736248726,25.14,26.03,1010,89,23.2,NA,20,9000,1.03,0,501,Rain,moderate rain,10n
3.033,101.45,Asia/Kuala_Lumpur,28800,1740589200,1740612334,1740655722,26.28,26.28,1013,88,24.13,NA,100,NA,1.1,121,804,Clouds,overcast clouds,04n
3.033,101.45,Asia/Kuala_Lumpur,28800,1736240400,1736205695,1736248726,26.39,26.39,1009,89,24.43,NA,20,10000,3.09,140,501,Rain,moderate rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737867600,1737847630,1737890757,26.83,29.62,1010,83,23.7,NA,20,9000,2.06,50,501,Rain,moderate rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736071200,1736032846,1736075871,29.08,32.9,1007,70,23.05,NA,20,10000,3.09,330,211,Thunderstorm,thunderstorm,11d
3.033,101.45,Asia/Kuala_Lumpur,28800,1740070800,1740094014,1740137347,26.51,26.51,1012,89,24.55,NA,20,10000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1741100400,1741044250,1741087686,27.52,32.12,1010,89,25.54,NA,100,NA,0.83,88,804,Clouds,overcast clouds,04n
3.033,101.45,Asia/Kuala_Lumpur,28800,1739631600,1739575668,1739618948,25.96,25.96,1011,89,24.01,NA,20,9000,0.0,0,500,Rain,light rain,10n
3.033,101.45,Asia/Kuala_Lumpur,28800,1740934800,1740957868,1741001294,26.38,26.38,1009,94,25.34,NA,20,9000,0.51,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1741042800,1741044250,1741087686,26.04,26.04,1008,89,24.08,NA,20,10000,0.51,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1738710000,1738711692,1738754891,25.23,26.13,1010,89,23.29,NA,20,10000,1.03,0,500,Rain,light rain,10n
